SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-8-2017,Condo/Co-op,225 Appeldoorn Cir Unit -,Asheville,NC,28803,129500,2,2.0,Asheville,996,,2005,247,130,138,Sold,,,http://www.redfin.com/NC/Asheville/225-Appeldoorn-Cir-28803/Unit/home/136296740,CMLS,3296676,N,Y,35.552996,-82.528796
PAST SALE,July-12-2017,Single Family Residential,5 Short Shiloh Rd,Asheville,NC,28803,145000,2,1.0,Asheville,652,6751,1918,274,222,,Sold,,,http://www.redfin.com/NC/Asheville/5-Short-Shiloh-Rd-28803/home/110945265,CMLS,3288514,N,Y,35.5491275,-82.5282159
PAST SALE,June-23-2017,Condo/Co-op,636 Appeldoorn Cir #636,Asheville,NC,28803,124000,2,2.0,Asheville,1017,,2006,293,122,146,Sold,,,http://www.redfin.com/NC/Asheville/636-Appeldoorn-Cir-28803/unit-636/home/113844999,CMLS,3276420,N,Y,35.553399,-82.526878
PAST SALE,,Single Family Residential,41 Jeffress Ave,Asheville,NC,28803,141000,2,1.0,,790,6534,1950,,178,,,,,http://www.redfin.com/NC/Asheville/41-Jeffress-Ave-28803/home/102032305,,,N,Y,35.5470676,-82.5306324
PAST SALE,,Single Family Residential,50 Shady Oak Dr,Asheville,NC,28803,280000,3,2.0,,1248,8712,2002,,224,,,,,http://www.redfin.com/NC/Asheville/50-Shady-Oak-Dr-28803/home/111005124,,,N,Y,35.5617412,-82.5372477
PAST SALE,September-18-2017,Single Family Residential,4 Century Blvd Unit 1-2,Asheville,NC,28803,183000,3,2.0,Asheville,1315,7492,1959,206,139,,Sold,,,http://www.redfin.com/NC/Asheville/4-Century-Blvd-28803/unit-1-2/home/128079271,CMLS,3291975,N,Y,35.545389,-82.527865
PAST SALE,September-15-2017,Single Family Residential,49 Hampton St,Asheville,NC,28803,170000,4,2.0,Asheville,1248,7405,1971,209,136,,Sold,,,http://www.redfin.com/NC/Asheville/49-Hampton-St-28803/home/111282917,CMLS,3271693,N,Y,35.5473378,-82.5293325
PAST SALE,,Condo/Co-op,236 Appeldoorn Cir,Asheville,NC,28803,133000,2,2.0,,1005,,2005,,132,,,,,http://www.redfin.com/NC/Asheville/236-Appeldoorn-Cir-28803/home/111291814,,,N,Y,35.552874,-82.52883
PAST SALE,June-16-2017,Vacant Land,97/98 Marietta,Asheville,NC,28803,29000,0,,Biltmore Heights,,12196,,300,,,Sold,,,http://www.redfin.com/NC/Asheville/98-Marietta-St-28803/home/113719254,NCMMLS,3271130,N,Y,35.556035,-82.5336919
PAST SALE,November-9-2017,Condo/Co-op,416 Appeldoorn Cir,Asheville,NC,28803,139000,2,2.0,Asheville,1005,,2006,154,138,146,Sold,,,http://www.redfin.com/NC/Asheville/416-Appeldoorn-Cir-28803/home/102047573,CMLS,3327091,N,Y,35.553959,-82.528001
PAST SALE,,Condo/Co-op,625 Appeldoorn Cir #625,Asheville,NC,28803,134500,2,2.0,,1005,,2006,,134,,,,,http://www.redfin.com/NC/Asheville/625-Appeldoorn-Cir-28803/unit-625/home/102029145,,,N,Y,35.553399,-82.526878
PAST SALE,November-10-2017,Single Family Residential,60 Taft Ave,Asheville,NC,28803,258000,3,2.0,Asheville,2075,12632,1969,153,124,,Sold,,,http://www.redfin.com/NC/Asheville/60-Taft-Ave-28803/home/102032966,CMLS,3321346,N,Y,35.545953,-82.5289717
PAST SALE,June-22-2017,Single Family Residential,54 Forest,Asheville,NC,28803,1540000,4,6.0,Biltmore Forest,4402,46609,1946,294,350,,Sold,,,http://www.redfin.com/NC/Asheville/54-Forest-St-28803/home/111215199,NCMMLS,3280122,N,Y,35.542916,-82.5298503
PAST SALE,April-26-2017,Single Family Residential,3 Bostic Pl,Asheville,NC,28803,150000,3,2.0,Asheville,1258,5227,2005,351,119,,Sold,,,http://www.redfin.com/NC/Asheville/3-Bostic-Pl-28803/home/111120440,CMLS,3179082,N,Y,35.5535914,-82.5319639
PAST SALE,May-8-2017,Single Family Residential,33 Wyatt St,Asheville,NC,28803,210000,3,2.0,Asheville,1258,9583,1905,339,167,,Sold,,,http://www.redfin.com/NC/Asheville/33-Wyatt-St-28803/home/108564726,CMLS,3206352,N,Y,35.5560053,-82.5311566
PAST SALE,April-19-2017,Single Family Residential,252 Brooklyn,Asheville,NC,28803,170000,4,2.0,Asheville,1152,10890,1998,358,148,,Sold,,,http://www.redfin.com/NC/Asheville/252-Brooklyn-Ln-28803/home/111270328,NCMMLS,3245161,N,Y,35.554422,-82.527326
PAST SALE,July-28-2017,Condo/Co-op,618 Appeldoorn Cir #618,Asheville,NC,28803,115000,1,1.0,Asheville,845,,2006,258,136,140,Sold,,,http://www.redfin.com/NC/Asheville/618-Appeldoorn-Cir-28803/unit-618/home/142478551,CMLS,3301294,N,Y,35.553399,-82.526878
PAST SALE,September-18-2017,Vacant Land,13 Warren Ave,Asheville,NC,28803,82750,,,Asheville,,4791,,206,,,Sold,,,http://www.redfin.com/NC/Asheville/13-Warren-Ave-28803/home/143058527,CMLS,3305711,N,Y,35.5648424,-82.5403853
PAST SALE,March-29-2017,Multi-Family (2-4 Unit),952 W Chapel Rd,Asheville,NC,28803,148000,4,2.0,Asheville,1931,10018,1910,379,77,,Sold,,,http://www.redfin.com/NC/Asheville/952-W-Chapel-Rd-28803/home/102061570,CMLS,3229668,N,Y,35.551336,-82.530694
PAST SALE,July-31-2017,Multi-Family (2-4 Unit),3 Fielding St,Asheville,NC,28803,302000,4,2.0,Asheville,1792,11325,1997,255,169,,Sold,,,http://www.redfin.com/NC/Asheville/3-Fielding-St-28803/home/111279207,CMLS,3280243,N,Y,35.56045,-82.536807
PAST SALE,May-26-2017,Single Family Residential,19 Crestland Rd,Asheville,NC,28803,200500,2,2.0,Asheville,903,16117,1959,321,222,,Sold,,,http://www.redfin.com/NC/Asheville/19-Crestland-Rd-28803/home/102033332,CMLS,3272743,N,Y,35.5598093,-82.5314567
PAST SALE,August-7-2017,Single Family Residential,47 Jeffress Ave,Asheville,NC,28803,170000,3,1.0,Asheville,1013,6969,1957,248,168,,Sold,,,http://www.redfin.com/NC/Asheville/47-Jeffress-Ave-28803/home/102045635,CMLS,3282015,N,Y,35.5470236,-82.5300934
PAST SALE,October-12-2017,Single Family Residential,889 Center St,Asheville,NC,28803,242000,3,2.5,Asheville,1509,5662,2006,182,160,,Sold,,,http://www.redfin.com/NC/Asheville/889-Center-St-28803/home/102047371,CMLS,3309865,N,Y,35.5522702,-82.5328602
PAST SALE,,Condo/Co-op,233 Appeldoorn Cir,Asheville,NC,28803,136000,2,2.0,,1016,,2005,,134,,,,,http://www.redfin.com/NC/Asheville/233-Appeldoorn-Cir-28803/home/111224830,,,N,Y,35.552909,-82.528914
PAST SALE,April-26-2017,Condo/Co-op,233 Appeldoorn Cir #233,Asheville,NC,28803,136000,2,2.0,Asheville,1010,,2005,351,135,138,Sold,,,http://www.redfin.com/NC/Asheville/233-Appeldoorn-Cir-28803/unit-233/home/113215713,CMLS,3251854,N,Y,35.552909,-82.528914
PAST SALE,April-19-2017,Single Family Residential,252 Brooklyn Rd,Asheville,NC,28803,170000,4,2.0,Asheville,1152,10890,1998,358,148,,Sold,,,http://www.redfin.com/NC/Asheville/252-Brooklyn-Rd-28803/home/102049445,CMLS,3245161,N,Y,35.5544534,-82.5273562
PAST SALE,August-29-2017,Single Family Residential,111 Dodge St,Asheville,NC,28803,255000,4,3.0,Asheville,1763,23086,1968,226,145,,Sold,,,http://www.redfin.com/NC/Asheville/111-Dodge-St-28803/home/102034074,CMLS,3284982,N,Y,35.5646007,-82.5394879
