SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-3-2012,Condo/Co-op,"155 S Lexington Ave, Unit 410",Asheville,NC,28801,175000,1,1.0,Asheville,816,,2007,2078,214,136,Sold,,,http://www.redfin.com/NC/Asheville/155-S-Lexington-Ave-28801/unit-410/home/111293910,CMLS,NCM516348,N,Y,35.590514,-82.552231
PAST SALE,November-16-2016,Condo/Co-op,60 Haywood St Unit 2C,Asheville,NC,28801,438000,1,1.0,Asheville,966,,1930,512,453,275,Sold,,,http://www.redfin.com/NC/Asheville/60-Haywood-St-28801/unit-2C/home/145040424,CMLS,3217973,N,Y,35.596383,-82.555484
PAST SALE,October-28-2013,Multi-Family (5+ Unit),23 Grove,Asheville,NC,28801,1150000,8,1.0,Central,,,1934,1627,,,Sold,,,http://www.redfin.com/NC/Asheville/23-Grove-St-28801/home/102061607,NCMMLS,NCM542713,N,Y,35.5930344,-82.5576813
PAST SALE,October-3-2016,Condo/Co-op,49 Broadway St #301,Asheville,NC,28801,415000,2,1.0,Asheville,1050,,1928,556,395,172,Sold,,,http://www.redfin.com/NC/Asheville/49-Broadway-St-28801/unit-301/home/108497146,CMLS,3202826,N,Y,35.597004,-82.552566
PAST SALE,June-28-2013,Single Family Residential,25 Church Rd,Asheville,NC,28801,65000,4,1.5,Asheville,1344,13068,1960,1749,48,,Sold,,,http://www.redfin.com/NC/Asheville/25-Church-St-28801/home/145043113,CMLS,NCM531153,N,Y,35.5942959,-82.553639
PAST SALE,March-24-2016,Vacant Land,95 Broadway St,Asheville,NC,28801,405000,,,Asheville,,6534,,749,,,Sold,,,http://www.redfin.com/NC/Asheville/95-Broadway-St-28801/home/145054883,CMLS,3084555,N,Y,35.5982668,-82.5533077
PAST SALE,January-22-2016,Condo/Co-op,21 Battery Park,Asheville,NC,28801,905000,2,3.0,21 Battery Park,1980,,2006,811,457,586,Sold,,,http://www.redfin.com/NC/Asheville/21-Battery-Park-Ave-28801/home/102025773,NCMMLS,NCM592681,N,Y,35.5954708,-82.5553567
PAST SALE,August-29-2016,Condo/Co-op,37 Hiawassee Unit W101,Asheville,NC,28801,196000,1,2.0,Asheville,682,,1965,591,287,239,Sold,,,http://www.redfin.com/NC/Asheville/37-Hiawassee-St-28801/unit-203/home/102026707,NCMMLS,3128744,N,Y,35.5984815,-82.5550614
PAST SALE,May-27-2016,Condo/Co-op,60 N Market #212,Asheville,NC,28801,595000,2,2.0,60 North Market,1135,,2008,685,524,351,Sold,,,http://www.redfin.com/NC/Asheville/60-N-Market-St-28801/unit-418/home/102029535,NCMMLS,3162249,N,Y,35.5979819,-82.5510846
PAST SALE,April-17-2015,Single Family Residential,58 Ann St,Asheville,NC,28801,135000,2,1.0,Downtown District,864,,1925,1091,156,,Sold,,,http://www.redfin.com/NC/Asheville/58-S-Ann-St-28801/home/102033499,NCMMLS,NCM569659,N,Y,35.5918381,-82.5599842
PAST SALE,October-27-2014,Condo/Co-op,151 Haywood St,Asheville,NC,28801,700000,2,3.0,The Asheville Club At 151,1456,,2009,1263,481,398,Sold,,,http://www.redfin.com/NC/Asheville/151-Haywood-St-28801/unit-1/home/102036174,NCMMLS,NCM568714,N,Y,35.5966697,-82.5584511
PAST SALE,September-26-2014,Condo/Co-op,56 Patton Ave,Asheville,NC,28801,510000,2,2.0,Asheville,1200,,1929,1294,425,133,Sold,,,http://www.redfin.com/NC/Asheville/56-Patton-Ave-28801/home/102037272,NCMMLS,NCM568752,N,Y,35.5944192,-82.5539627
PAST SALE,September-26-2014,Condo/Co-op,56 Patton Ave Unit 303,Asheville,NC,28801,510000,2,2.0,Asheville,1200,,1929,1294,425,133,Sold,,,http://www.redfin.com/NC/Asheville/56-Patton-Ave-28801/unit-303/home/110824211,CMLS,NCM568752,N,Y,35.5944192,-82.5539627
PAST SALE,April-17-2012,Condo/Co-op,57 Broadway Unit A,Asheville,NC,28801,555000,2,2.5,Asheville,2401,,1928,2186,231,,Sold,,,http://www.redfin.com/NC/Asheville/57-Broadway-St-28801/unit-A/home/110827554,CMLS,NCM489024,N,Y,35.597213,-82.5527584
PAST SALE,July-22-2016,Condo/Co-op,37 Hiawassee St Unit E-205,Asheville,NC,28801,190000,1,1.0,Asheville,593,,1965,629,320,226,Sold,,,http://www.redfin.com/NC/Asheville/37-Hiawassee-St-28801/unit-E205/home/110910707,CMLS,3179813,N,Y,35.5984815,-82.5550614
PAST SALE,May-28-2014,Condo/Co-op,21 Battery Park - 608,Asheville,NC,28801,360000,1,1.0,Asheville,1330,,2005,1415,271,379,Sold,,,http://www.redfin.com/NC/Asheville/21-Battery-Park-Ave-28801/unit-608/home/111086875,CMLS,NCM517510,N,Y,35.5954708,-82.5553567
PAST SALE,July-5-2016,Condo/Co-op,37 Hiawassee St Unit W-206,Asheville,NC,28801,195000,1,1.0,Asheville,636,,1965,646,307,245,Sold,,,http://www.redfin.com/NC/Asheville/37-Hiawassee-St-28801/unit-W206/home/111241000,CMLS,3151964,N,Y,35.5984815,-82.5550614
PAST SALE,August-29-2016,Condo/Co-op,37 Hiawassee St Unit W101,Asheville,NC,28801,196000,1,2.0,Asheville,682,,1965,591,287,239,Sold,,,http://www.redfin.com/NC/Asheville/37-Hiawassee-St-28801/unit-W101/home/111265990,CMLS,3128744,N,Y,35.5984815,-82.5550614
PAST SALE,February-19-2015,Condo/Co-op,21 Battery Park Avenue #304,Asheville,NC,28801,790000,2,2.0,Asheville,1980,,2004,1148,399,565,Sold,,,http://www.redfin.com/NC/Asheville/21-Battery-Park-Ave-28801/unit-304/home/111292004,CMLS,NCM574517,N,Y,35.5954708,-82.5553567
PAST SALE,November-16-2016,Condo/Co-op,37 Hiawassee St Unit W 202,Asheville,NC,28801,247500,2,2.0,Asheville,884,,1965,512,280,337,Sold,,,http://www.redfin.com/NC/Asheville/37-Hiawassee-St-28801/unit-W202/home/111293353,CMLS,3186161,N,Y,35.5984815,-82.5550614
PAST SALE,March-24-2017,Vacant Land,0 S Charlotte St,Asheville,NC,28801,160000,,,Asheville,,6969,,384,,,Sold,,,http://www.redfin.com/NC/Asheville/0-Charlotte-St-28801/home/43878672,CMLS,3238285,N,Y,35.6001295,-82.5469558
